               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.027774,            0.011769,           0.0021457,             0.96333,                   1,               0.995,             0.68589,            0.014008,           0.0038505,          0.00047207,           0.0032366,           0.0032366,           0.0032366
                  71,            0.027479,            0.011448,           0.0038117,             0.96334,                   1,               0.995,             0.67893,            0.013254,            0.004138,          0.00046692,           0.0031386,           0.0031386,           0.0031386
                  72,             0.02721,            0.011811,           0.0019525,             0.96724,                   1,               0.995,              0.6592,            0.013822,           0.0042815,          0.00044138,           0.0030406,           0.0030406,           0.0030406
                  73,            0.028489,            0.012414,           0.0025565,             0.96285,                   1,               0.995,             0.66708,            0.014378,           0.0042896,          0.00041671,           0.0029426,           0.0029426,           0.0029426
                  74,             0.02626,             0.01186,           0.0045795,             0.93526,                   1,               0.995,             0.69024,            0.013906,           0.0043879,          0.00039225,           0.0028446,           0.0028446,           0.0028446
                  75,            0.029199,            0.013141,            0.004009,             0.93291,                   1,               0.995,             0.69274,            0.014264,           0.0043106,           0.0003582,           0.0027465,           0.0027465,           0.0027465
                  76,            0.025872,            0.012412,           0.0025191,             0.85488,                   1,               0.995,             0.69125,            0.013087,           0.0044756,          0.00033352,           0.0026485,           0.0026485,           0.0026485
                  77,            0.027167,             0.01193,           0.0025168,             0.86127,                   1,               0.995,             0.69731,            0.013202,            0.004487,          0.00032701,           0.0025505,           0.0025505,           0.0025505
                  78,            0.027106,            0.012354,           0.0021632,             0.87994,              0.9989,               0.995,             0.67259,            0.013567,           0.0041847,          0.00032201,           0.0024525,           0.0024525,           0.0024525
                  79,            0.027762,            0.012356,           0.0028423,             0.91021,             0.99857,               0.995,             0.69573,            0.013306,           0.0040917,          0.00033445,           0.0023545,           0.0023545,           0.0023545
                  80,             0.02614,            0.010996,           0.0024783,             0.91587,                   1,               0.995,             0.73653,            0.012271,           0.0039639,           0.0003396,           0.0022564,           0.0022564,           0.0022564
                  81,            0.023826,            0.011896,           0.0030547,              0.9076,                   1,               0.995,             0.61824,            0.016294,           0.0040827,          0.00032723,           0.0021584,           0.0021584,           0.0021584
                  82,            0.023745,            0.011776,           0.0016801,             0.91463,                   1,               0.995,             0.69109,            0.014446,           0.0041659,          0.00033803,           0.0020604,           0.0020604,           0.0020604
                  83,            0.028095,            0.011144,            0.001925,             0.91464,                   1,               0.995,             0.69862,            0.015102,            0.004118,          0.00035419,           0.0019624,           0.0019624,           0.0019624
                  84,            0.023612,            0.012149,           0.0016738,             0.93805,             0.96966,               0.995,             0.71392,            0.015254,           0.0039036,          0.00035119,           0.0018644,           0.0018644,           0.0018644
                  85,            0.024919,            0.011312,           0.0012489,             0.84305,             0.98139,             0.96167,             0.73677,            0.012929,           0.0038064,          0.00034432,           0.0017663,           0.0017663,           0.0017663
                  86,            0.025687,            0.011445,           0.0036775,             0.85629,             0.99532,             0.96167,             0.72962,            0.012601,           0.0036676,          0.00032616,           0.0016683,           0.0016683,           0.0016683
                  87,            0.023194,            0.011182,           0.0024703,             0.85428,                   1,             0.96167,             0.71229,            0.012794,           0.0037434,          0.00029526,           0.0015703,           0.0015703,           0.0015703
                  88,            0.025509,            0.011466,           0.0019575,             0.88688,                   1,             0.96167,             0.71648,            0.012945,           0.0039368,          0.00027888,           0.0014723,           0.0014723,           0.0014723
                  89,            0.023354,            0.010512,            0.001187,             0.90252,                   1,             0.96167,             0.68374,            0.013361,           0.0038776,          0.00025377,           0.0013743,           0.0013743,           0.0013743
                  90,            0.024704,            0.011245,           0.0035261,             0.90449,                   1,             0.97833,             0.72036,            0.012725,           0.0038652,          0.00024283,           0.0012762,           0.0012762,           0.0012762
                  91,            0.021546,            0.010738,           0.0017252,             0.98397,                   1,               0.995,               0.738,            0.011903,           0.0038693,          0.00022259,           0.0011782,           0.0011782,           0.0011782
                  92,            0.023362,            0.011199,           0.0014508,             0.97112,                   1,               0.995,             0.72079,            0.012762,             0.00402,          0.00021651,           0.0010802,           0.0010802,           0.0010802
                  93,            0.023556,            0.011227,           0.0019211,             0.84105,                   1,             0.97833,             0.71509,            0.013139,           0.0041859,          0.00021343,          0.00098218,          0.00098218,          0.00098218
                  94,            0.022328,            0.010607,           0.0015097,             0.83534,                   1,             0.97833,             0.71441,            0.012677,           0.0040643,          0.00020335,          0.00088416,          0.00088416,          0.00088416
                  95,            0.021192,           0.0098345,           0.0021864,             0.96779,             0.94056,               0.995,             0.71594,            0.012518,           0.0039151,          0.00020242,          0.00078614,          0.00078614,          0.00078614
                  96,            0.022343,            0.011133,           0.0051789,             0.94462,             0.96989,               0.995,             0.70996,            0.012983,           0.0039356,          0.00019941,          0.00068812,          0.00068812,          0.00068812
                  97,            0.018792,            0.011051,           0.0018387,             0.93265,             0.97364,               0.995,             0.71012,            0.012302,           0.0040281,          0.00019834,           0.0005901,           0.0005901,           0.0005901
                  98,            0.020833,            0.011372,           0.0013661,             0.92614,             0.98041,               0.995,             0.72353,            0.013106,           0.0041764,           0.0001919,          0.00049208,          0.00049208,          0.00049208
                  99,            0.019896,             0.01092,           0.0012797,             0.92542,             0.97364,               0.995,             0.72902,            0.012514,           0.0042343,          0.00019133,          0.00039406,          0.00039406,          0.00039406
                 100,            0.020516,            0.010528,           0.0019475,             0.92417,             0.98285,               0.995,             0.72918,            0.012349,           0.0042064,           0.0001894,          0.00029604,          0.00029604,          0.00029604
